ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
85,Jun-17,East,West Bengal,Karthik Kamkar Karthik,OTG,Jun-17 - Jul-17,No Grant,Yes,"Karnataka,Jammu & Kashmir,Delhi,Rajasthan,Kerala,Gujarat",Jun-17 - Jul-17,Not-Available,Y,Y,Y,Y,N,N,N/A
83,Jun-17,East,West Bengal,Abhilash Pradam,Fellowship,Jun-17 - Jul-17,"6,000.00",Yes,"Delhi,Rajasthan",Jun-17 - Jul-17,Available,Y,N,N,N,N,N,N/A
81,Jun-17,North-East,Meghalaya,Partnerprofile,Fellowship,Jun-17 - Jul-17,No Grant,Yes,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jun-17 - Jul-17,Not-Available,Y,Y,Y,N,N,N,N/A
80,Jun-17,East,Odisha,Karthiktestfour,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
78,Jun-17,East,Odisha,Karthitestthree,Fellowship,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
77,Jun-17,North,Uttar Pradesh,Sanjay Chimanlal Sheth,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
76,Jun-17,North,Jammu and Kashmir,Doddaballapura,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
75,Jun-17,North,Uttar Pradesh,Karthiktestone,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
74,Jun-17,East,Odisha,Sudhakar Ambati,Resource Org,Jun-17 - Jun-17,No Grant,Yes,"Karnataka,Delhi,Rajasthan",Jun-17 - Jun-17,Not-Available,N,Y,N,N,N,N,Good
73,Jun-17,West,Maharashtra,Mahiti,Fellowship,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
72,Jun-17,East,Bihar,Partnernamenew,Fellowship,Jun-17 - Jul-17,No Grant,No,"Andaman and Nicobar Islands,Lakshadweep",Jun-17 - Jul-17,Not-Available,Y,Y,Y,N,N,N,Remarks
71,Jun-17,East,West Bengal,Tetingtwo,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
68,Jun-17,East,Odisha,Kamkar,Fellowship,Jun-17 - Jun-17,No Grant,No,Jammu & Kashmir,Jun-17 - Jun-17,Not-Available,Y,Y,N,Y,N,N,N/A
66,Jun-17,East,Bihar,New Partner Profile,Fellowship,Jun-17 - Jul-17,No Grant,N/A,N/A,Jun-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
63,Jun-17,North,Jammu and Kashmir,Partner Profile Creation,Implementing,Jun-17 - Jul-17,No Grant,No,"Maharashtra,Mizoram,Kerala,Rajasthan,Nagaland,Rajasthan,Odisha,Bihar,Maharashtra,West Bengal,Gujarat,Goa,Manipur,Karnatakakarnatala,Andhra Pradesh,Karnataka,Jammu & Kashmir,Karnatakarajya,Delhi,Madhya Pradesh,Haryana,Punjab,Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Uttar Pradesh,Gujarat,Jharkand,Madhya Pradesh,Telangana,Chhattisgarh,Tamilnadu,Tripura,New Delhi",Jun-17 - Jul-17,Not-Available,Y,N,N,N,N,N,N/A
62,Jun-17,East,West Bengal,Partner Creation,Fellowship,Jun-17 - Jul-17,No Grant,N/A,N/A,Jun-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
61,Jun-17,East,Odisha,Partner,Fellowship,Jun-17 - Jul-17,No Grant,N/A,N/A,Jun-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
60,Jul-17,East,West Bengal,Abhilash,Fellowship,Jun-17 - Jun-20,No Grant,N/A,N/A,Jun-17 - Jun-20,Not-Available,Y,Y,Y,Y,N,N,N/A
59,Jun-17,North,Uttarakhand,Pradhamram,OTG,Jun-17 - Jun-17,No Grant,No,"Jammu & Kashmir,Delhi,Telangana,Gujarat",Jun-17 - Jun-17,Not-Available,Y,Y,Y,N,N,Y,Remarks
58,Jun-17,East,Tripura,Tester,Fellowship,Jun-17 - Jun-17,No Grant,Yes,Jammu & Kashmir,Jun-17 - Jun-17,Not-Available,Y,Y,Y,N,N,N,Remarks
56,Jun-17,East,Bihar,Mallik,Resource Org,Jun-17 - Nov-24,"1,06,21,236.00",Yes,Jammu & Kashmir,Jun-17 - Nov-24,Available,N,Y,N,N,N,N,Good
55,Jun-17,North-East,Assam,karthik,Fellowship,Jun-17 - Jul-18,No Grant,Yes,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jun-17 - Jul-18,Not-Available,Y,Y,Y,Y,N,N,N/A
53,Jun-17,Union Territory,Delhi,New Partner Test,Fellowship,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
50,Jun-17,South,Delhi,New Meal Partner1,"Group Fellow, Network / Alliance",Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
0,Jun-17,N/A,N/A,New Test Parter,N/A,N/A - N/A,No Grant,N/A,N/A,N/A - N/A,Not-Available,N,N,N,N,N,N,N/A
49,Aug-17,North,Himachal Pradesh,Ramanapriya,Fellowship,Feb-17 - Aug-17,"87,00,000.00",No,Jammu & Kashmir,Feb-17 - Aug-17,Not-Available,Y,N,N,N,N,N,fsdafsd
48,Sep-17,North,Jammu & Kashmir,karthikeyan,Implementing,Aug-17 - Aug-20,"54,50,00,000.00",N/A,N/A,Aug-17 - Aug-20,Available,Y,Y,N,Y,N,N,N/A
0,Jun-17,N/A,N/A,New Partner,N/A,N/A - N/A,No Grant,N/A,N/A,N/A - N/A,Not-Available,N,N,N,N,N,N,N/A
