Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,Choice Id,Choice Text,Choice Active Status,Kannada,Hindi,Tamil,Telugu,Bangla,Odiya,Assamese - Ahomia,
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,78,Anganwaadi,2,Anganwaadi - ಅಂಗನವಾಡಿ,Anganwaadi - आँगनवाड़ी,Anganwaadi - அங்கன்வாடி,Anganwaadi - అంగన్‌ వాడి ,,,,
2,School Level Information,92,Mid Day meal cooked by ,S,2,82,Inside/adjoining the school premises and by the school,2,Inside/adjoining the school premises and by the school - ಶಾಲಾ ಆವರಣದಲ್ಲಿ ಮತ್ತು ಶಾಲೆಯಿಂದ ಪಕ್ಕದಲ್ಲಿದೆ,Inside/adjoining the school premises and by the school - स्कूल के द्वारा स्कूल परिसर के भीतर/नजदीक ,"Inside/adjoining the school premises and by the school - பள்ளிக்கூட வளாகத்திற்குள்ளும், பள்ளிக்குள்ளும் உள்ளே",Inside/adjoining the school premises and by the school -  లోపల / పాఠశాల ప్రాంగణంలో మరియు పాఠశాల ద్వారా adjoining,,,,
2,School Level Information,92,Mid Day meal cooked by ,S,2,83,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO,2,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - ಶಾಲಾ ಆವರಣದಲ್ಲಿ ಮತ್ತು ಎನ್ಜಿಒ / ಪ್ರೈವೇಟ್ ಏಜೆನ್ಸಿ / ಸಿಬಿಒ ಮೂಲಕ,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा स्कूल परिसर के भीतर/नजदीक ,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - பள்ளிக்குள்/பள்ளியையொட்டி தொண்டு நிறுவனத்தால்/தனியார் அமைப்பு/சமுதாயம் சார்ந்த அமைப்பு ,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO -  లోపల/పాఠశాల పరిసరాలకు కు ఆనుకొని - స్వచ్ఛంద సేవా సంస్థ (ఎన్‌.జి.ఓ)/ ప్రయివేటు సంస్థ / కమ్యునిటీ బేస్డ్‌ సంస్థ (సి.బి.ఓ) ద్వారా నిర్వహించ బడుతుంటే ,,,,
2,School Level Information,92,Mid Day meal cooked by ,S,2,84,Outside the school premises by NGO/Pvt Agency/CBO,2,Outside the school premises by NGO/Pvt Agency/CBO - ಎನ್ಜಿಒ / ಪ್ರೈವೇಟ್ ಏಜೆನ್ಸಿ / ಸಿಬಿಒ ಶಾಲೆಯಿಂದ ಆವರಣದಲ್ಲಿದೆ,Outside the school premises by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा एवं स्कूल परिसर के बाहर ,Outside the school premises by NGO/Pvt Agency/CBO - பள்ளி வளாகத்திற்கு வெளியே பள்ளியால்,Outside the school premises by NGO/Pvt Agency/CBO -  పాఠశాల పరిసరాలకు వెలుపల (బయట) పాఠశాల ద్వారానే  ,,,,
2,School Level Information,93,Mid Day meal cook available,S,2,85,Yes,2,Yes - ಹೌದು,Yes - हाँ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,93,Mid Day meal cook available,S,2,86,No ,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No  - না,No  - ନାହିଁ,No  - নহয়,
2,School Level Information,94,Mid Day meal helper available,S,2,87,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,94,Mid Day meal helper available,S,2,88,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,89,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,90,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,96,School building available,S,2,91,"Yes, Own Building",2,"Yes, Own Building - ಹೌದು, ಸ್ವಂತ ಕಟ್ಟಡ ","Yes, Own Building - हाँ, स्कूल की स्वयं का भवन है ","Yes, Own Building - ஆம், சொந்த கட்டிடத்தில் ","Yes, Own Building - ఉంది,  స్వంత భవనము","Yes, Own Building - হাঁ",,,
2,School Level Information,96,School building available,S,2,92,"No, building not available or broken(classes conducted in open)",2,"No, building not available or broken(classes conducted in open) - ಇಲ್ಲ, ಕಟ್ಟಡ ಲಭ್ಯವಿಲ್ಲ ಅಥವಾ ಶಿಥಿಲಗೊಂಡಿದೆ (ತರಗತಿಗಳನ್ನು ಹೊರಗೆ ನಡೆಸಲಾಗುವುದು","No, building not available or broken(classes conducted in open) - नहीं, भवन उपलब्ध नहीं है या टूटा है ","No, building not available or broken(classes conducted in open) - இல்லை, கட்டிடம் இல்லை/உடைந்த கட்டிடம் (வகுப்புகள் திறந்தவெளியில் நடத்தபடுகின்றன) ","No, building not available or broken(classes conducted in open) -  లేదు, భవనము లేదు, లేదా శిధిలమైనది (తరగతులు ఆరుబయట నిర్వహించుచున్నారు)",,,,
2,School Level Information,97,Toilet for children,R,2,93,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,97,Toilet for children,R,2,94,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,98,Separate Toilet for Girls,R,2,95,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,98,Separate Toilet for Girls,R,2,96,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,99,Water available in Toilet,S,2,97,"Yes, running water in the toilet",2,"Yes, running water in the toilet - ಹೌದು, ಶೌಚಾಲಯದಲ್ಲಿ ಹರಿಯುತ್ತಿರುವ ನೀರು ","Yes, running water in the toilet - हाँ,शौचालय में पानी चालू","Yes, running water in the toilet - ஆம், கழிவறையில் தண்ணீர் இருக்கிறது ","Yes, running water in the toilet -  ఉంది, కొళాయి ద్వారా నీరు సరఫరా అవుతుంది",,,,
2,School Level Information,99,Water available in Toilet,S,2,98,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,100,Boundary wall available,R,2,99,"Yes, broken/ incomplete",2,"Yes, broken/ incomplete - ಹೌದು, ಒಡೆದ/ಅಪೂರ್ಣವಾದ","Yes, broken/ incomplete - हाँ, टूटी हुई/अधूरी ","Yes, broken/ incomplete -  ஆம், உடைந்த, முழுமையற்ற ","Yes, broken/ incomplete - ప్రహరీ గోడ ఉంది - శిధిలమై ఉంది /  అసంపూర్ణముగా ఉంది","Yes, broken/ incomplete - হাঁ",,,
2,School Level Information,100,Boundary wall available,R,2,100,No boundary wall,2,No boundary wall - ಯಾವುದೇ ಗಡಿ ಗೋಡೆ ಇಲ್ಲ,No boundary wall - कोई चहारदीवारी नहीं ,No boundary wall - எல்லை எல்லை இல்லை,No boundary wall -  సరిహద్దు గోడ లేదు,,,,
2,School Level Information,101,Library available,R,0,101,Yes,2,,,,,,,,
2,School Level Information,101,Library available,R,0,102,No,2,,,,,,,,
2,School Level Information,102,Libraray available,R,2,103,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,102,Libraray available,R,2,104,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,103,Playground available,R,2,105,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,103,Playground available,R,2,106,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,104,Separate kitchen with shed,R,2,107,Yes,2,Yes - ಹೌದು,Yes- हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,104,Separate kitchen with shed,R,2,108,No,2,No - ಇಲ್ಲ,No- नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,105,Disable friendly with ramp,R,2,109,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,105,Disable friendly with ramp,R,2,110,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,106,Availablity of Drinking Water,R,2,111,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,106,Availablity of Drinking Water,R,2,112,No,2,No - ಇಲ್ಲ,No - नहीं,No,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,107,Availability of Electricity,R,2,113,"Yes, but supply intermittent",2,"Yes, but supply intermittent - ಹೌದು, ಆದರೆ ಅನಿಯಮಿತವಾಗಿರುವ ಪೂರೈಕೆ  ","Yes, but supply intermittent - हाँ, लेकिन बाधित प्रदाय ","Yes, but supply intermittent - ஆம் ஆனால் விட்டுவிட்டு இருக்கிறது","Yes, but supply intermittent - అవును, కాని అంతరాయపూరిత సరఫరా ",,,,
2,School Level Information,107,Availability of Electricity,R,2,114,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - இல்லை ,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,109,Availability of Science lab,R,2,115,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,109,Availability of Science lab,R,2,116,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,110,School management commitee constituted,R,2,117,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,110,School management commitee constituted,R,2,118,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,119,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,120,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,121,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,122,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,123,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,124,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,118,AW Helper available,R,2,125,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,118,AW Helper available,R,2,126,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,128,Own Building available,R,2,127,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,128,Own Building available,R,2,128,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,129,Type of building,R,2,129,Pucca,2,Pucca - ಪಕ್ಕ,Pucca - पक्का,Pucca -  கான்க்ரீட் கட்டிடம்,Pucca - పక్కా,Pucca - নিজের,Pucca - ପକ୍କା,Pucca - নহয়,
3,Anganwadi Centre Information,129,Type of building,R,2,130,Semi Pucca,2,Semi Pucca - ಸೆಮಿ ಪಕ್ಕ,Semi Pucca - आधा पक्का,Semi Pucca -  ஓட்டு கட்டிடம்,Semi Pucca - అస్థిర,Semi Pucca - আধা পাকা,Semi Pucca - ଅଧା ପକ୍କା,Semi Pucca - হয়,
3,Anganwadi Centre Information,129,Type of building,R,2,131,Kutchha,2,Kutchha - ಕಚ್ಚಾ,Kutchha - कच्चा,Kutchha - குடிசை,Kutchha - కచ్చా ,Kutchha - লিজড,Kutchha - କଚା,Kutchha - নহয়,
3,Anganwadi Centre Information,130,Shade for cooking available,R,2,132,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,130,Shade for cooking available,R,2,133,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,134,Within the premises/ adjoining the premises,2,Within the premises/ adjoining the premises - ಆವರಣದಲ್ಲಿ/ಆವರಣದ ಅಕ್ಕಪಕ್ಕದಲ್ಲಿ,Within the premises/ adjoining the premises - अहाते के भीतर/साथ लगा हुआ,Within the premises/ adjoining the premises - அங்கன்வாடி மையவளாகத்தில்/ வளாகத்தை ஒட்டி  ,"Within the premises/ adjoining the premises - ఉంది, కేంద్రము యొక్క ఆవరణములోనే /ప్రాంగణమునకు ఆనుకొని ఉన్నది.",,,Within the premises/ adjoining the premises - হয়,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,135,At a distance from the premises,2,At a distance from the premises - ಕಟ್ಟಡದಿಂದ ದೂರ,At a distance from the premises -  अहाते से दूरी पर,At a distance from the premises - அங்கன்வாடி மையவளாகத்திலிருந்து தூரத்தில்,At a distance from the premises - ఆవరణకు కొంత దూరములో ఉన్నది.,,,At a distance from the premises - নহয়,
3,Anganwadi Centre Information,132,Functional toilet available,R,2,136,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,132,Functional toilet available,R,2,137,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,138,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,139,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - ,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,140,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয়,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,141,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,142,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,143,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,144,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,145,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,137,Immunization service available,R,2,146,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,137,Immunization service available,R,2,147,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,138,Health check up service available,R,2,148,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,138,Health check up service available,R,2,149,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,139,Referral services available,R,2,150,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,139,Referral services available,R,2,151,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,152,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",,
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,153,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,154,"Yes,  available and irregular",2,"Yes, available and irregular - ಹೌದು, ಲಭ್ಯವಿದೆ ಮತ್ತು ಅನಿಯಮಿತವಾಗಿ","Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - అవును, ఉంది క్రమముగా తీసుకొని వెళ్తున్నారు",,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ","Yes,  available and irregular - নহয়",
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,155,No,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No - না,No - ନାହିଁ,No - নহয়,
2,School Level Information,92,Mid Day meal cooked by ,S,2,158,Outside the School premises and by the school,2,Outside the School premises and by the school - ಶಾಲೆಯ ಆವರಣದ ಹೊರಗೆ ಮತ್ತು ಶಾಲೆಯಿಂದ,Outside the School premises and by the school -  स्कूल के द्वारा एवं स्कूल परिसर के बाहर ,Outside the School premises and by the school -பள்ளி வளாகத்திற்கு வெளியேயும் பள்ளியிலும்,Outside the School premises and by the school -  స్కూల్ ప్రాంగణంలో వెలుపల మరియు పాఠశాల ద్వారా,,,,
37,Child Annual Information,154,Name of Head of HouseHold,T,0,172,,2,,,,,,,,
37,Child Annual Information,155,Name of the Father,T,2,173,NULL,2,,,,,,,,
37,Child Annual Information,156,Age of Father,T,2,174,NULL,2,,,,,,,,
37,Child Annual Information,158,Occupation of the father,S,2,176,Unemployed,2,Unemployed - ನಿರುದ್ಯೋಗಿ,Unemployed - बेरोज़गार ,Unemployed - வேலை இல்லாதவர்,Unemployed -  నిరుద్యోగి,Unemployed - অক্রিয়,Unemployed - ବେକାର,Unemployed - নিবনুৱা,
37,Child Annual Information,158,Occupation of the father,S,2,177,Agricultural labour,2,Agricultural labour - ಕೃಷಿ ಕಾರ್ಮಿಕ ,Agricultural labour - खेतिहर मज़दूर ,Agricultural labour - விவசாய கூலி,Agricultural labour -   వ్యవసాయ కార్మికుడు,Agricultural labour - কৃষি শ্রমিক,Agricultural labour - କୃଷିକ୍ଷେତ୍ର ଶ୍ରମିକ,Agricultural labour - কৃষি শ্রমিক,
37,Child Annual Information,159,Name of Mother,T,2,178,NULL,2,,,,,,,,
37,Child Annual Information,160,Age of Mother,T,2,179,NULL,2,,,,,,,,
