Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Hindi,Tamil,Bangla,Odiya, Ahomia
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,120,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,121,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,122,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,123,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,124,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,118,AW Helper available,R,2,125,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,118,AW Helper available,R,2,126,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,128,Own Building available,R,2,127,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,128,Own Building available,R,2,128,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,129,Type of building,R,2,129,Pucca,2,Pucca - पक्का,Pucca - கான்க்ரீட் கட்டிடம்,Pucca - নিজের,Pucca - ପକ୍କା,Pucca - পকী
3,Anganwadi Centre Information,129,Type of building,R,2,130,Semi Pucca,2,Semi Pucca - आधा पक्का,Semi Pucca - ஓட்டு கட்டிடம்,Semi Pucca - আধা পাকা,Semi Pucca - ଅଧା ପକ୍କା,Semi Pucca - অৰ্ধ পকী
3,Anganwadi Centre Information,129,Type of building,R,2,131,Kutchha,2,Kutchha - कच्चा,Kutchha - குடிசை,Kutchha - লিজড,Kutchha - କଚା,Kutchha - কেচা
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,132,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,133,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,134,Within the premises/ adjoining the premises,2,Within the premises/ adjoining the premises - अहाते के भीतर/साथ लगा हुआ,Within the premises/ adjoining the premises - அங்கன்வாடி மையவளாகத்தில்/ வளாகத்தை ஒட்டி,Within the premises/ adjoining the premises - সীমানার মধ্যে/সন্নিহিত সীমানা,Within the premises/ adjoining the premises,চৌহদৰ ভিতৰত অথবা লগা-লগিকৈ আছে
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,135,At a distance from the premises,2,At a distance from the premises - अहाते से दूरी पर,At a distance from the premises - அங்கன்வாடி மையவளாகத்திலிருந்து தூரத்தில்,At a distance from the premises - প্রাঙ্গনে থেকে দূরে ,At a distance from the premises,চৌহদৰ আঁতৰত
3,Anganwadi Centre Information,132,Functional toilet available,R,2,136,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,132,Functional toilet available,R,2,137,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,133,Water available in toilets,R,2,138,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,133,Water available in toilets,R,2,139,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,140,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,141,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,142,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular- হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,143,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,144,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular - হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,145,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,137,Immunization service available,R,2,146,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular- হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,137,Immunization service available,R,2,147,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,138,Health check up service available,R,2,148,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular -হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধমাজে মাজে"
3,Anganwadi Centre Information,138,Health check up service available,R,2,149,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,139,Referral services available,R,2,150,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,139,Referral services available,R,2,151,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,152,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, প্ৰউপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,153,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,154,"Yes, available and irregular",2,"Yes, available and irregular - हाँ, उपलब्थ लेकिन अनियमित ","Yes, available and irregular - ஆம், உண்டு, எப்போதும் உண்டு ","Yes, available and irregular হ্যাঁ, উপলভ্য এবং অনিয়মিত ","Yes, available and irregular - ହଁ, ଅନିୟମିତ","হয়, উপলব্ধ মাজে মাজে"
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,155,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,92,Mid Day meal cooked by,S,2,158,Outside the School premises and by the school,2,Outside the School premises and by the school - स्कूल के द्वारा एवं स्कूल परिसर के बाहर,Outside the School premises and by the school -பள்ளி வளாகத்திற்கு வெளியேயும் பள்ளியிலும்,Outside the School premises and by the school স্কুলের সীমানা এবং স্কুলের বাইরে ,Outside the School premises and by the school,স্কুলৰ দ্বাৰা চৌহদৰ বাহিৰত মধ্যহ্নভোজন ৰান্ধে
37,Child Annual Information,154,Name of Head of HouseHold,T,0,172,,2,,,,,0
37,Child Annual Information,155,Name of the Father,T,2,173,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,156,Age of Father,T,2,174,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,158,Occupation of the father,S,2,176,Unemployed,2,Unemployed - बेरोज़गार,Unemployed - வேலை இல்லாதவர்,Unemployed - অক্রিয়,Unemployed - ବେକାର,Unemployed - নিবনুৱা
37,Child Annual Information,158,Occupation of the father,S,2,177,Agricultural labour,2,Agricultural labour - खेतिहर मज़दूर,Agricultural labour - விவசாய கூலி,Agricultural labour - কৃষি শ্রমিক,Agricultural labour - କୃଷିକ୍ଷେତ୍ର ଶ୍ରମିକ,Agricultural labour - কৃষি শ্রমিক
37,Child Annual Information,159,Name of Mother,T,2,178,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,160,Age of Mother,T,2,179,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,162,Occupation of the Mother,S,2,181,Unemployed,2,Unemployed - बेरोज़गार,Unemployed - வேலை இல்லாதவர்,Unemployed - অক্রিয়,Unemployed - ବେକାର,Unemployed - নিবনুৱা
37,Child Annual Information,162,Occupation of the Mother,S,2,182,Agricultural labour,2,Agricultural labour - खेतिहर मज़दूर,Agricultural labour - விவசாய கூலி,Agricultural labour - কৃষি শ্রমিক,Agricultural labour - କୃଷିକ୍ଷେତ୍ର ଶ୍ରମିକ,Agricultural labour - কৃষি শ্রমিক
37,Child Annual Information,162,Occupation of the Mother,S,2,183,Casual labour and other labour,2,Casual labour and other labour - आकस्मिक मज़दूरी एवं अन्य मज़दूरी कार्य,Casual labour and other labour - மற்ற தினக்கூலி தொழிலாளி,Casual labour and other labour - নৈমিত্তিক শ্রম,Casual labour and other labour - ଅନୌପଚାରିକ ଶ୍ରମିକ ଏବଂ ଅନ୍ୟାନ୍ୟ ଶ୍ରମିକ କାମ,Casual labour and other labour - ঋতুকালিন শ্ৰ্মিক
37,Child Annual Information,163,Orphaned /Single parent,R,2,184,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
37,Child Annual Information,163,Orphaned /Single parent,R,2,185,"Yes, father-Dead OR missing OR Deserted OR in Jail",2,"Yes, father-Dead OR missing OR Deserted OR in Jail - हाँ, पिता मृत या गुमशुदा या परित्यक्त या जेल में ","Yes, father-Dead OR missing OR Deserted OR in Jail - ஆம், தந்தை-இறந்துவிட்டார் (அ) காணவில்லை (அ) கைவிட்டுவிட்டார் (அ) சிறையில் ","Yes, father-Dead OR missing OR Deserted OR in Jail হ্যাঁ, বাবা- মৃত ,নির্জন/জেলে 
অথবা নিরুদ্দেশ বা নির্জন অথবা কারাগারে ","Yes, father-Dead OR missing OR Deserted OR in Jail","হয়, পিতৃৰ মৃত্যু হৈছে অথবা নিৰুদ্দেশ হৈছে অথবা বেলেগকৈ থাকে অথবা জেলত আছে"
37,Child Annual Information,164,Name of Guardian,T,2,186,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,165,Caste of Child,S,2,187,SC,2,SC - अ.जा.,SC - தாழ்த்தப்பட்டோர்,SC - এসসি,SC - ତଫସିଲଭୁକ୍ତ ଜାତି,SC - (অনুসুচিত জাতি)
37,Child Annual Information,165,Caste of Child,S,2,188,ST,2,ST - अ.ज.जा.,ST - பழங்குடியினர்,ST - এসটি,ST - ତଫସିଲଭୁକ୍ତ ଜନଜାତି,ST - (অনুসুচিত পাহাৰীয়া জাতি)
37,Child Annual Information,165,Caste of Child,S,2,189,OBC/BC/ EBC (All backward caste),2,OBC/BC/ EBC (All backward caste) - अ.पि.व./ पि.व./सभी पिछड़ा वर्ग,OBC/BC/ EBC (All backward caste) - ஓ.பி.சி/பி.சி/மின்.பி.சி(அனைத்து பின்தங்கிய சாதி),OBC/BC/ EBC (All backward caste) ওবিসি/বিসি/এবক (সব অজ জাতি) ,OBC/BC/ EBC (All backward caste) - ଅନ୍ୟାନ୍ୟ ପଛୁଆ ବର୍ଗ,OBC/BC/ EBC (All backward caste) - অন্য পিছপৰা জাতি
37,Child Annual Information,165,Caste of Child,S,2,190,Don't know,2,Don't know - नहीं जानते,Don't know - தெரியாது,Don't know - জানি না / কোন তথ্য নেই,Don't know - ଜଣା ନାହିଁ,Don't know - একো নাজানো।
37,Child Annual Information,165,Caste of Child,S,2,191,General,2,General - सामान्य/अन्य,General - பொது பிரிவினர்/பிற,General - সাধারণ,General - ସାଧାରଣ,General - সাধাৰণ
37,Child Annual Information,166,Religion of Child,S,2,192,Hindu,2,Hindu - हिन्दू,Hindu - இந்து,Hindu - হিন্দু,Hindu - ହିନ୍ଦୁ,Hindu - হিন্দু
37,Child Annual Information,166,Religion of Child,S,2,193,Christian,2,Christian - ईसाई,Christian - கிறிஸ்தவம்,Christian - খ্রীষ্টান,Christian - ଖ୍ରୀଷ୍ଟିଆନ,Christian - খ্ৰীষ্টিয়ান
37,Child Annual Information,166,Religion of Child,S,2,194,Muslim,2,Muslim - मुस्लिम,Muslim - இஸ்லாமியம்,Muslim - মুসলিম,Muslim - ମୁସଲିମ୍,Muslim - মুচলমান
37,Child Annual Information,166,Religion of Child,S,2,195,Others,2,Others - अन्य,Others - பிற,Others - অন্যরা,Others - ଅନ୍ୟାନ୍ୟ,Others - অন্যান্য
37,Child Annual Information,167,Sex of Child,R,0,196,Male,2,,,Male পুরুষ ,Male-ମଲେ ,পুৰুষ
37,Child Annual Information,167,Sex of Child,R,0,197,Female,2,,,Female নারী ,Female- ଫେମଲେ ,মহিলা
37,Child Annual Information,168,Birth registration of child done?,R,2,198,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
37,Child Annual Information,168,Birth registration of child done?,R,2,199,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
37,Child Annual Information,169,Date of birth of the child,D,0,200,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,170,Place of Delivery,S,2,201,,0,,,,,0
37,Child Annual Information,171,Weight at birth (in kgs),T,2,202,NULL,2,,,Null- খালি,NULL-ନୁଁଲଲ ,প্ৰযোজ্য নহয়
37,Child Annual Information,172,Weight of child communicated to the mother after delivery,R,2,203,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
37,Child Annual Information,173,Age of child(in years),T,0,204,,2,,,,,0
