Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Hindi,Tamil,Bangla,Odiya, Ahomia
2,School Level Information,54,Total SC Boys,T,2,Total SC Boys- कुल अ. जा. के लड़के,Total SC Boys - தாழ்த்தப்பட்ட வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total SC Boys - মোট SC বালক,Total SC Boys - ତଫସିଲ୍ଭୁକ୍ତ ଜାତିର ସମୁଦାୟ ବାଳକ,Total SC Boys - মুঠ SC লৰাৰ সংখ্যা
2,School Level Information,55,Total SC Girls,T,2,Total SC Girls - कुल अ. जा. की लड़कियाँ,Total SC Girls - தாழ்த்தப்பட்ட வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை,Total SC Girls - মোট SC বালিকা,Total SC Girls - ତଫସିଲ୍ଭୁକ୍ତ ଜାତିର ସମୁଦାୟ ବାଳିକା,Total SC Girls - মুঠ SC ছোৱালীৰ সংখ্যা
2,School Level Information,56,Total ST Boys,T,2,Total ST Boys - कुल अ. ज. जा. के लड़के,Total ST Boys - பழங்குடி வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total ST Boys - মোট ST বালক,Total ST Boys - ତଫସିଲଭୁକ୍ତ ଜନଜାତିର ସମୁଦାୟ ବାଳକ,Total ST Boys - মুঠ ST লৰাৰ সংখ্যা
2,School Level Information,57,Total ST Girls,T,2,Total ST Girls - कुल अ.ज. जा. की लड़कियाँ,Total ST Girls - பழங்குடி வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை,Total ST Girls - মোট ST বালিকা,Total ST Girls - ତଫସିଲ୍ଭୁକ୍ତ ଜନଜାତିର ସମୁଦାୟ ବାଳିକା,Total ST Girls - মুঠ ST ছোৱালীৰ সংখ্যা
2,School Level Information,58,Total OBC Boys,T,2,Total OBC Boys - कुल अ. पि. व. लड़के,Total OBC Boys - பிற பிற்படுத்தப்பட்ட வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total OBC Boys - মোট OBC বালক,Total OBC Boys - ସମୁଦାୟ ଓବିସି ବାଳକ,Total OBC Boys - মুঠ OBC লৰাৰ স্ংখ্যা
2,School Level Information,59,Total OBC Girls,T,2,Total OBC Girls - कुल अ. पि. व. लड़कियाँ,Total OBC Girls - பிற பிற்படுத்தப்பட்ட வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை,Total OBC Girls - মোট OBC বালিকা,Total OBC Girls - ସମୁଦାୟ ଓବିସି ବାଳିକା,Total OBC Girls - মুঠ OBC ছোৱালীৰ স্ংখ্যা
2,School Level Information,60,Total Other Boys (Caste),T,2,Total Other Boys (Caste) - कुल अन्य लड़के,Total Other Boys (Caste) - பிற ஆண் குழந்தைகளின் எண்ணிக்கை,total other boys- মট অন্য ছেলে ,Total Other Boys (Caste) -ସମୁଦାୟ ବାଳକ ଜାତି ,মুঠ অন্যান্য ল’ৰা
2,School Level Information,61,Total Other Girls (Caste),T,2,Total Other Girls (Caste) - कुल अन्य लड़कियाँ,Total Other Girls (Caste) - பிற பெண் குழந்தைகளின் எண்ணிக்கை,total other girls- মট অন্য মেয়ে,Total Other Girls (Caste) - ସମୁଦାୟ ବାଳିକା ଜାତି ,মুঠ অন্যান্য চোৱালী
2,School Level Information,62,Total Hindu Boys,T,2,Total Hindu Boys - कुल हिन्दू लड़के,Total Hindu Boys - இந்து ஆண் குழந்தைகளின் எண்ணிக்கை,Total Hindu Boys - মোট হিন্দু বালক,Total Hindu Boys - ସମୁଦାୟ ହିନ୍ଦୁ ବାଳକ,Total Hindu Boys - মুঠ হিন্দু লৰাৰ সংখ্যা
2,School Level Information,63,Total Hindu Girls,T,2,Total Hindu Girls - कुल हिन्दू लड़कियाँ,Total Hindu Girls - இந்து பெண் குழந்தைகளின் எண்ணிக்கை,Total Hindu Girls - মোট হিন্দু বালিকা,Total Hindu Girls - ସମୁଦାୟ ହିନ୍ଦୁ ବାଳିକା,Total Hindu Girls - মুঠ হিন্দু ছোৱালীৰ সংখ্যা
2,School Level Information,64,Total Muslim Boys,T,2,Total Muslim Boys - कुल मुस्लिम लड़के,Total Muslim Boys - முஸ்லிம் ஆண் குழந்தைகளின் எண்ணிக்கை,Total Muslim Boys - মোট মুসলিম বালক,Total Muslim Boys - ସମୁଦାୟ ମୁସଲିମ୍ ବାଳକ,Total Muslim Boys - মুঠ মুছলমান লৰাৰ সংখ্যা
2,School Level Information,65,Total Muslim Girls,T,2,Total Muslim Girls - कुल मुस्लिम लड़कियाँ,Total Muslim Girls - முஸ்லிம் பெண் குழந்தைகளின் எண்ணிக்கை,Total Muslim Girls - মোট মুসলিম বালিকা,Total Muslim Girls - ସମୁଦାୟ ମୁସଲିମ୍ ବାଳିକା,Total Muslim Girls - মুঠ মুছলমান ছোৱালীৰ সংখ্যা
2,School Level Information,66,Total Christian Boys,T,2,Total Christian Boys - कुल ईसाई लड़के,Total Christian Boys - கிறிஸ்தவ ஆண் குழந்தைகளின் எண்ணிக்கை,Total Christian Boys - মো্ট খৃষ্টান বালক,Total Christian Boys - ସମୁଦାୟ ଖ୍ରୀଷ୍ଟିଆନ୍ ବାଳକ,Total Christian Boys - মুঠ খ্ৰীষ্টান লৰাৰ সংখ্যা
2,School Level Information,67,Total Christian Girls,T,2,Total Christian Girls - कुल ईसाई लड़कियाँ,Total Christian Girls - கிறிஸ்தவ பெண் குழந்தைகளின் எண்ணிக்கை,Total Christian Girls - মোট খৃষ্টান বালিকা,Total Christian Girls - ସମୁଦାୟ ଖ୍ରୀଷ୍ଟିଆନ୍ ବାଳିକା,Total Christian Girls - মুঠ খ্ৰীষ্টান ছোৱালীৰ সংখ্যা
2,School Level Information,68,Total Sikh Boys,T,2,Total Sikh Boys - कुल सिक्ख लड़के,Total Sikh Boys - சீக்கிய ஆண் குழந்தைகளின் எண்ணிக்கை,Total Sikh Boys - মোট শিখ বালক,Total Sikh Boys - ସମୁଦାୟ ଶିଖ୍ ବାଳକ,Total Sikh Boys - মুঠ শিখ লৰাৰ সংখ্যা
2,School Level Information,69,Total Sikh Girls,T,2,Total Sikh Girls - कुल सिक्ख लड़कियाँ,Total Sikh Girls - சீக்கிய பெண் குழந்தைகளின் எண்ணிக்கை,Total Sikh Girls - মোট শিখ বালিকা,Total Sikh Girls - ସମୁଦାୟ ଶିଖ୍ ବାଳିକା,Total Sikh Girls - মুঠ শিখ ছোৱালীৰ সংখ্যা
2,School Level Information,70,Total Buddhist Boys,T,2,Total Buddhist Boys - कुल बौद्ध लड़के,Total Buddhist Boys - புத்த மதத்தை சேர்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total Buddhist Boys - মোট বৌদ্ধ বালক,Total Buddhist Boys - ସମୁଦାୟ ବୁଦ୍ଧ ଧର୍ମାବଲମ୍ବୀ ବାଳକ,Total Buddhist Boys - মুঠ বৌদ্ধ লৰাৰ স্ংখ্যা
2,School Level Information,71,Total Buddhist Girls,T,2,Total Buddhist Girls - कुल बौद्ध लड़कियाँ,Total Buddhist Girls - புத்த மதத்தை சேர்ந்த பெண் குழந்தைகளின் எண்ணிக்கை,Total Buddhist Girls - মোট বৌদ্ধ বালিকা,Total Buddhist Girls - ସମୁଦାୟ ବୁଦ୍ଧ ଧର୍ମାବଲମ୍ବୀ ବାଳିକା,Total Buddhist Girls - মুঠ বৌদ্ধ ছোৱালীৰ সংখ্যা
2,School Level Information,72,Total Jain Boys,T,2,Total Jain Boys - कुल जैन लड़के,Total Jain Boys - ஜைன (சமண மதம்)மதத்தை சேர்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total Jain Boys - মোট জৈণ বালক,Total Jain Boys - ସମୁଦାୟ ଜୈନ ଧର୍ମାବଲମ୍ବୀ ବାଳକ,Total Jain Boys - মুঠ জৈন লৰাৰ স্ংখ্যা
2,School Level Information,73,Total Jain Girls,T,2,Total Jain Girls - कुल जैन लड़कियाँ,Total Jain Girls - ஜைன (சமண மதம்) மதத்தை சேர்ந்த பெண் குழந்தைகளின் எண்ணிக்கை,Total Jain Girls - মোট জৈণ বালিকা,Total Jain Girls - ସମୁଦାୟ ଜୈନ ଧର୍ମାବଲମ୍ବୀ ବାଳିକା,Total Jain Girls - মুঠ জৈন ছোৱালীৰ সংখ্যা
2,School Level Information,74,Total Boys,T,2,Total Boys - कुल लड़के,Total Boys - மொத்த ஆண் குழந்தைகளின் எண்ணிக்கை,Total Boys - মোট বালক,Total Boys - ସମୁଦାୟ ବାଳକ,Total Boys - মুঠ লৰা
2,School Level Information,75,Total Girls,T,2,Total Girls - कुल लड़कियाँ,Total Girls - மொத்த பெண் குழந்தைகளின் எண்ணிக்கை,Total Girls - মোট বালিকা,Total Girls - ସମୁଦାୟ ବାଳିକା,Total Girls - মুঠ ছোৱালী
2,School Level Information,76,Total Children,T,2,Total Children - कुल बच्चे,Total Children - மொத்த குழந்தைகள்,Total Children - মোট শিশু,Total Children - ସମୁଦାୟ ଛାତ୍ରଛାତ୍ରୀ,Total Children - মুঠ শিশু (ছাত্ৰ/ছাত্ৰী)
2,School Level Information,77,Total number of Boys with special needs,T,2,Total number of Boys with special needs - विशेष आवश्यकता वाले कुल लड़कों की संख्या,Total number of Boys with special needs - மாற்றுதிறனாளி ஆண் குழந்தைகளின் எண்ணிக்கை,Total number of Boys with special needs - বিশেষ চাহিদা সম্পন্ন মোট বালকের সংখ্যা,Total number of Boys with special needs - ସ୍ୱତନ୍ତ୍ର ଧ୍ୟାନ ଆବଶ୍ୟକ କରୁଥିବା ବାଳକ ସଂଖ୍ୟା,Total number of Boys with special needs - বিশেষ প্ৰয়োজন থকা লৰাৰ সংখ্যা
2,School Level Information,78,Total number of Girls with special needs,T,2,Total number of Girls with special needs - विशेष आवश्यकता वाली कुल लड़कियों की संख्या,Total number of Girls with special needs - மாற்றுதிறனாளி பெண் குழந்தைகளின் எண்ணிக்கை,Total number of Girls with special needs - বিশেষ চাহিদা সম্পন্ন মোট বালিকার সংখ্যা,Total number of Girls with special needs - ସ୍ୱତନ୍ତ୍ର ଧ୍ରାନ ଆବଶ୍ୟକ କରୁଥିବା ବାଳିକା ସଂଖ୍ୟା,Total number of Girls with special needs - বিশেষ প্ৰয়োজন থকা ছোৱালীৰ সংখ্যা
2,School Level Information,79,Number of permanent teachers,T,2,Number of permanent teachers - स्थाई शिक्षकों की संख्या,Number of permanent teachers - நிரந்தர ஆசிரியர்களின் எண்ணிக்கை,Number of permanent teachers - চুক্তি ভিত্তক শিক্ষকের সংখ্যা,Number of permanent teachers - ସ୍ଥାୟୀ ଶିକ୍ଷକ ସଂଖ୍ୟା,Number of permanent teachers - মুঠ নিয়মিয়া শিক্ষক
2,School Level Information,80,Number of contractual teachers,T,2,Number of contractual teachers - संविदा शिक्षकों की संख्या,Number of contractual teachers - ஒப்பந்த ஆசிரியர்களின் எண்ணிக்கை,Number of contractual teachers - মোট শিক্ষক সংখ্যা,Number of contractual teachers - ଚୁକ୍ତିଭିତିକ ଶିକ୍ଷକ ସଂଖ୍ୟା,Number of contractual teachers - মুঠ ঠিকাভিত্তিক শিক্ষক
2,School Level Information,81,Total numbers of teachers,T,2,Total numbers of teachers - शिक्षकों की कुल संख्या,Total numbers of teachers - மொத்த ஆசிரியர்கள்,Total numbers of teachers - মোট পুরুষ শিক্ষক,Total numbers of teachers - ସମୁଦାୟ ଶିକ୍ଷକ ସଂଖ୍ୟା,Total numbers of teachers - মুঠ শিক্ষকৰ সংখ্যা
2,School Level Information,82,Total Male teachers,T,2,Total Male teachers - कुल पुरुष शिक्षक,Total Male teachers - மொத்த ஆண் ஆசிரியர்கள்,Total Male teachers - মোট মহিলা শিক্ষক,Total Male teachers - ସମୁଦାୟ ପୁରୁଷ ଶିକ୍ଷକ ସଂଖ୍ୟା,Total Male teachers - মুঠ পুৰুষ শিক্ষক
2,School Level Information,83,Total Female teachers,T,2,Total Female teachers - कुल महिला शिक्षक,Total Female teachers - மொத்த பெண் ஆசிரியர்கள்,Total Female teachers - আলাদ গণিতের শিক্ষক,Total Female teachers - ସମୁଦାୟ ମହିଳା ଶିକ୍ଷକ ସଂଖ୍ୟା,Total Female teachers - মুঠ মহিলা শিক্ষক
2,School Level Information,84,Separate mathematics teachers,S,2,Separate mathematics teachers - अलग गणित के शिक्षक,Separate mathematics teachers - கணித ஆசிரியர்கள்,Separate mathematics teachers - মোট স্থায়ী শিক্ষকের সংখ্যা,Separate mathematics teachers - ସ୍ୱତନ୍ତ୍ର ଗଣିତ ଶିକ୍ଷକ,Separate mathematics teachers - পৃথক গনিতৰ শিক্ষক
2,School Level Information,85,Separate Science teachers,S,2,Separate Science teachers - विज्ञान के लिये नियत शिक्षक,Separate Science teachers - அறிவியல் ஆசிரியர்கள்,Separate Science teachers - আলাদা বিজ্ঞানের শিক্ষক,Separate Science teachers - ସ୍ୱତନ୍ତ୍ର ବିଜ୍ଞାନ ଶିକ୍ଷକ,Separate Science teachers - পৃথক বিজ্ঞানৰ শিক্ষক
2,School Level Information,86,Separate Language teachers,S,2,Separate Language teachers - भाषा के लिये नियत शिक्षक,Separate Language teachers - மொழி ஆசிரியர்கள்,Separate Language teachers - আলাদা ভাষার শিক্ষক,Separate Language teachers - ସ୍ୱତନ୍ତ୍ର ଭାଷା ଶିକ୍ଷକ,Separate Language teachers - পৃথক মাতৃভাষাৰ শিক্ষক
2,School Level Information,87,Separate teachers for SST,S,2,Separate teachers for SST - एस. एस. टी. के लिये नियत शिक्षक,Separate teachers for SST - SST ஆசிரியர்கள்,Separate teachers for SST - SST এর জন্য আলাদা শিক্ষক,Separate teachers for SST - ସ୍ୱତନ୍ତ୍ର ସାମାଜିକ ବିଜ୍ଞାନ ଶିକ୍ଷକ,Separate teachers for SST - পৃথক সমাজ অধ্যয়ন বিষয়ত শিক্ষক
2,School Level Information,88,Atleast one Female teacher available,S,2,Atleast one Female teacher available - कम से कम एक महिला शिक्षक,Atleast one Female teacher available - குறைந்தபட்சம் ஒரு பெண் ஆசிரியர்,Atleast one Female teacher available - নূন্যতম একজন মহিলা শিক্ষক আছেন,Atleast one Female teacher available - ଅତି କମ୍ ରେ ଜଣେ ଶିକ୍ଷୟିତ୍ରୀ,Atleast one Female teacher available - অন্তত এজনী মহিলা শিক্ষয়ত্ৰী আছেনে
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,Type of Anganwadi - आँगनवाड़ी का प्रकार,Type of Anganwadi - அங்கன்வாடியின் வகை,Type of Anganwadi - অঙ্গনারীর ধরণ,Type of Anganwadi - ଅଂଗନୱାଡ଼ି କେନ୍ଦ୍ରର ପ୍ରକାର,Type of Anganwadi - অংগনবাড়ীৰ ধৰণ
3,Anganwadi Centre Information,90,Location Type,R,0,,,অবস্থানের ধরন ,0,ঠাইৰ ধৰণ
3,Anganwadi Centre Information,91,Location or Address of the AWC,T,0,,,Location or Address of the AWC - এ ডব্লিউ সি র অবস্থান বা ঠিকানা ,0,অংগনবাড়ীৰ ঠিকনা
2,School Level Information,92,Mid Day meal cooked by,S,2,Mid Day meal cooked by - मध्यान्न भोजन कौन पकाता है,Mid Day meal cooked by - மதிய உணவு யாரால் சமைக்கபடுகிறது,Mid Day meal cooked by - মধ্যাহ্নভোজ রান্ন করেন,Mid Day meal cooked by - ମଧ୍ୟାହ୍ନ ଭୋଜନ କିଏ ରାନ୍ଧୁଛି,Mid Day meal cooked by - মধ্যাহ্নভোজন কোনে ৰান্ধে
2,School Level Information,93,Mid Day meal cook available,S,2,Mid Day meal cook available - मध्यान्न भोजन रसोईया उपलब्ध,Mid Day meal cook available - மதிய உணவு சமையல்காரர் இருக்கிறாரா,Mid Day meal cook available - রান্ন করা মধ্যাহ্নভোজ পাওয়া যায়,Mid Day meal cook available - ମଧ୍ୟାହ୍ନ ଭୋଜନ ରୋଷେୟା ଅଛି କି ନାହିଁ,Mid Day meal cook available - মধ্যাহ্নভোজনৰ ৰান্ধনি আছেনে
2,School Level Information,94,Mid Day meal helper available,S,2,Mid Day meal helper available - मध्यान्न भोजन सहायक उपलब्ध,Mid Day meal helper available - மதிய உணவு சமையல் உதவியாளர் இருக்கிறாரா,Mid Day meal helper available - মধ্যাহ্নভোজ সহায়িকা আছেন,Mid Day meal helper available - ମଧ୍ୟାହ୍ନ ଭୋଜନ ସହାୟିକା ରହିଛି କି ନାହିଁ,Mid Day meal helper available - মধ্যাহ্নভোজন ৰান্ধনিৰ সহায়িকা আছেনে
2,School Level Information,95,Separate cleaning staff for MDM,S,2,Separate cleaning staff for MDM - मध्यान्न भोजन में सफ़ाई के लिये नियत स्टाफ़ उपलब्ध,Separate cleaning staff for MDM - சுத்தம் செய்வதற்கென்று தனி பணியாளர் இருக்கிறாரா,Separate cleaning staff for MDM - মধ্যাহ্নভোজের জন্য আলাদা সাফাই কর্মী আছেন,Separate cleaning staff for MDM - ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ସ୍ୱତନ୍ତ୍ର ସଫେଇ କର୍ମଚାରୀ ରହିଛି କି ନାହିଁ,Separate cleaning staff for MDM - বেলেগ চাফাইকৰ্মি বা MDM উপলব্ধনে
2,School Level Information,96,School building available,S,2,School building available - स्कूल भवन उपलब्ध,School building available - பள்ளி கட்டிடம் இருக்கிறதா,School building available - বিদ্যালয় গৃহ আছে,School building available - ବିଦ୍ୟାଳୟର ନିଜସ୍ୱ ଗୃହ ରହିଛି କି ନାହିଁ,School building available - বিদ্যালয় গৃহ আছেনে
2,School Level Information,97,Toilet for children,R,2,Toilet for children - बच्चों के लिये शौचालय,Toilet for children - குழந்தைகளுக்கு கழிவறை இருக்கிறதா,Toilet for children - শিশুদের জন্য শৌচাগার আছে,Toilet for children - ଛାତ୍ରଛାତ୍ରଙ୍କ ପାଇଁ ଶୌଚାଳୟ,Toilet for children - শিশুৰ কাৰণে শৌচালয়
2,School Level Information,98,Separate Toilet for Girls,R,2,Separate Toilet for Girls - लड़कियों के लिये अलग से शौचालय,Separate Toilet for Girls - பெண் குழந்தைகளுக்கு தனி கழிவறை இருக்கிறதா,Separate Toilet for Girls - বালিকাদের জন্য আলাদা শৌচাগার আছে,Separate Toilet for Girls - ବାଳିକାଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର ଶୌଚାଳୟ,Separate Toilet for Girls - ছোৱালীৰ কাৰণে বেলেগ শৌচালয়
2,School Level Information,99,Water available in Toilet,S,2,Water available in Toilet - शौचालय में पानी उपलब्ध,Water available in Toilet - கழிவறையில் தண்ணீர் வசதி இருக்கிறதா,Water available in Toilet - শৌচাগারে জল পাওয়া যায়,Water available in Toilet - ଶୌଚାଳୟରେ ପାଣି ସୁବିଧା,Water available in Toilet - শৌচালয়ত পানী উপলব্ধনে
2,School Level Information,100,Boundary wall available,R,2,Boundary wall available - चहारदीवारी उपलब्ध,Boundary wall available - சுற்றுசுவர் இருக்கிறதா,Boundary wall available - বাউন্ডারী দেওয়াল আছে,Boundary wall available - ବିଦ୍ୟାଳୟ ଚାରିପଟେ ପାଚେରୀ,Boundary wall available - চৌপাশৰ দেৱাল আছেনে
2,School Level Information,101,Library available,R,0,,,Library available লাইব্রেরী উপলভ্য ,0,Libraray available - গ্ৰন্থাগাৰ উপলব্ধনে
2,School Level Information,102,Libraray available,R,2,Libraray available - पुस्तकालय उपलब्ध,Libraray available - நூலகம் இருக்கிறதா,Libraray available - লাইব্রেরী উপলভ্য ,Libraray available - ପାଠାଗାର ରହିଛି କି ନାହିଁ,Libraray available - গ্ৰন্থাগাৰ উপলব্ধনে
2,School Level Information,103,Playground available,R,2,Playground available - खेलकूद मैदान उपलब्ध,Playground available - விளையாட்டு மைதானம் இருக்கிறதா,Playground available - খেলার মাঠ আছে,Playground available - ଖେଳପଡ଼ିଆ ରହିଛି କି ନାହିଁ,Playground available - খেলপথাৰ উপলব্ধনে
2,School Level Information,104,Separate kitchen with shed,R,2,Separate kitchen with shed - शेड सहित रसोईघर अलग से उपलब्ध,Separate kitchen with shed - தனி சமையல் அறை இருக்கிறதா,Separate kitchen with shed - আলাদা রান্না ঘর ও চালা আছে,Separate kitchen with shed - ସେଡ଼୍ ସହିତ ସ୍ୱତନ୍ତ୍ର ରୋଷେଇ ଗୃହ,Separate kitchen with shed - বেলেগ ৰান্ধনিগৃহ নে চালৰ সৈতে
2,School Level Information,105,Disable friendly with ramp,R,2,Disable friendly with ramp - विकलांग-हितैशी रैंप उपलब्ध,Disable friendly with ramp - மாற்றுதிறனாளி குழந்தைகளும் பயன்படுத்தும் வகையில் இருக்கிறதா,Disable friendly with ramp - প্রতিবন্ধী বান্ধব র‍্যাম্প আছে কিনা,Disable friendly with ramp - ଦିବ୍ୟାଙ୍ଗଙ୍କ ଯାତାୟତ ପାଇଁ ରାଂପ୍ ସୁବିଧା,Disable friendly with ramp - বিশেষভাৱে সক্ষম লোকৰ কাৰনে ৰেম্পৰ ব্যৱস্থা
2,School Level Information,106,Availablity of Drinking Water,R,2,Availablity of Drinking Water - पीने का पानी उपलब्ध,Availablity of Drinking Water - குடிநீர் வசதி இருக்கிறதா,Availablity of Drinking Water - পানীয় জলের ব্যবস্থা আছে,Availablity of Drinking Water - ପିଇବା ପାଣିର ସୁବିଧା,Availablity of Drinking Water - খোৱা পানীৰ ব্যৱস্থা
2,School Level Information,107,Availability of Electricity,R,2,Availability of Electricity - बिजली उपलब्ध,Availability of Electricity - மின்சார வசதி இருக்கிறதா,Availability of Electricity - বিদ্যুৎ সংযোগ আছে কিনা,Availability of Electricity - ବିଦ୍ୟୁତ୍ ଯୋଗାଣ ସୁବିଧା,Availability of Electricity - স্কুলত কাৰেণ্টৰ ব্যবস্থা
3,Anganwadi Centre Information,108,Year of Operation of AWC,D,2,Year of Operation of AWC - आँगनवाड़ी केन्द्र के परिचालन का वर्ष,Year of Operation of AWC - அங்கன்வாடி மையம் செயல்பட தொடங்கிய வருடம்,Year of Operation of AWC - অঙ্গনারী কোন বছর থেকে চালু হয়েছে,Year of Operation of AWC - କେନ୍ଦ୍ରର ପରିଚଳନା ଆରମ୍ଭ ହେବା ବର୍ଷ,Year of Operation of AWC - অংগনবাড়ী কেন্দ্ৰটো কোন চনত স্থাপিত হৈছিল ?
2,School Level Information,109,Availability of Science lab,R,2,Availability of Science lab - विज्ञान प्रयोगशाला उपलब्ध,Availability of Science lab - அறிவியல் ஆய்வகம் இருக்கிறதா,Availability of Science lab - বিজ্ঞানের জন্য ল্যাবরেটরি আছে,Availability of Science lab - ବିଜ୍ଞାନାଗାର,Availability of Science lab - বিজ্ঞান গৱেষণাগাৰ উপলব্ধনে
2,School Level Information,110,School management commitee constituted,R,2,School management commitee constituted - स्कल-प्रबंधन समिति गठित,School management commitee constituted - பள்ளி மேலாண்மை குழு இருக்கிறதா,School management commitee constituted - বিদ্যালয় পরিচালন সমিতি(SMC) তৈরি হয়েছে কিনা,School management commitee constituted - ବିଦ୍ୟାଳୟ ପରିଚାଳନା କମିଟି ଗଠିତ ହୋଇଛି କି ନାହିଁ,School management commitee constituted - স্কুল কমিটি গঠন হৈছেনে
3,Anganwadi Centre Information,111,Population catered to by AWC,T,2,Population catered to by AWC - आँगनवाड़ी केन्द्र द्वारा कवर की जा रह जनसंख्या,Population catered to by AWC - அங்கன்வாடி மையத்தால் சேவை வழங்கப்படும் மொத்த மக்கள்தொகை,Population catered to by AWC - অঙ্গনারী সেন্টার কত লোকের কাছে পৌঁছছে,Population catered to by AWC - କେତେ ଜନସଂଖ୍ୟାର ଆବଶ୍ୟକତାକୁ କେନ୍ଦ୍ର ପୂରଣ କରୂଛି,অংগনাবাড়ীৰ মুঠ জনসংখ্যা
