Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Odiya,
2,School Level Information,93,Mid Day meal cook available,S,2,85,Yes,2,Yes - ହଁ,
2,School Level Information,93,Mid Day meal cook available,S,2,86,No,2,No  - ନାହିଁ,
2,School Level Information,94,Mid Day meal helper available,S,2,87,Yes,2,Yes - ହଁ,
2,School Level Information,94,Mid Day meal helper available,S,2,88,No,2,No - ନାହିଁ,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,89,Yes,2,Yes - ହଁ,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,90,No,2,No - ନାହିଁ,
2,School Level Information,96,School building available,S,2,91,"Yes, Own Building",2,"Yes, Own Building : ହଁ , ନିଜସ୍ଵଗୃହ",
2,School Level Information,96,School building available,S,2,92,"No, building not available or broken(classes conducted in open)",2,"No, building not available or broken(classes conducted in open) : ନାହିଁ ,ନିଜସ୍ୱ ଗୃହ ନାହିଁ, ଭାଙ୍ଗିଯାଇଛି",
2,School Level Information,97,Toilet for children,R,2,93,Yes,2,Yes - ହଁ,
2,School Level Information,97,Toilet for children,R,2,94,No,2,No - ନାହିଁ,
2,School Level Information,98,Separate Toilet for Girls,R,2,95,Yes,2,Yes - ହଁ,
2,School Level Information,98,Separate Toilet for Girls,R,2,96,No,2,No - ନାହିଁ,
2,School Level Information,99,Water available in Toilet,S,2,97,"Yes, running water in the toilet",2,"Yes, running water in the toilet: ହଁ ,ପାଇଖାନାକୁ ପାଣିର ସୁବିଧା ଅଛି",
2,School Level Information,99,Water available in Toilet,S,2,98,No,2,No - ନାହିଁ,
2,School Level Information,100,Boundary wall available,R,2,99,"Yes, broken/ incomplete",2,"Yes, broken/ incomplete:ହଁ ,ଭାଙ୍ଗିଯାଇଛି ,ଅସମ୍ପୂର୍ଣ୍ଣ",
2,School Level Information,100,Boundary wall available,R,2,100,No boundary wall,2,No boundary wall :ବାଡ଼ ନାହିଁ ,
2,School Level Information,101,Library available,R,0,101,Yes,2, Yes - ହଁ ,
2,School Level Information,101,Library available,R,0,102,No,2,No  - ନାହିଁ,
2,School Level Information,102,Libraray available,R,2,103,Yes,2,Yes - ହଁ,
2,School Level Information,102,Libraray available,R,2,104,No,2,No - ନାହିଁ,
2,School Level Information,103,Playground available,R,2,105,Yes,2,Yes - ହଁ,
2,School Level Information,103,Playground available,R,2,106,No,2,No - ନାହିଁ,
2,School Level Information,104,Separate kitchen with shed,R,2,107,Yes,2,Yes - ହଁ,
2,School Level Information,104,Separate kitchen with shed,R,2,108,No,2,No - ନାହିଁ,
2,School Level Information,105,Disable friendly with ramp,R,2,109,Yes,2,Yes - ହଁ,
2,School Level Information,105,Disable friendly with ramp,R,2,110,No,2,No - ନାହିଁ,
2,School Level Information,106,Availablity of Drinking Water,R,2,111,Yes,2,Yes - ହଁ,
2,School Level Information,106,Availablity of Drinking Water,R,2,112,No,2,No - ନାହିଁ,
2,School Level Information,107,Availability of Electricity,R,2,113,"Yes, but supply intermittent",2,"Yes, but supply intermittent;ହଁ ,ଅନିୟମିତତା",
2,School Level Information,107,Availability of Electricity,R,2,114,No,2,No - ନାହିଁ,
2,School Level Information,109,Availability of Science lab,R,2,115,Yes,2,Yes - ହଁ,
2,School Level Information,109,Availability of Science lab,R,2,116,No,2,No - ନାହିଁ,
2,School Level Information,110,School management commitee constituted,R,2,117,Yes,2,Yes - ହଁ,
2,School Level Information,110,School management commitee constituted,R,2,118,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,119,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,120,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,121,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,122,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,123,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,124,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,118,AW Helper available,R,2,125,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,118,AW Helper available,R,2,126,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,128,Own Building available,R,2,127,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,128,Own Building available,R,2,128,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,129,Type of building,R,2,129,Pucca,2,Pucca - ପକ୍କା,
3,Anganwadi Centre Information,129,Type of building,R,2,130,Semi Pucca,2,Semi Pucca - ଅଧା ପକ୍କା,
3,Anganwadi Centre Information,129,Type of building,R,2,131,Kutchha,2,Kutchha - କଚା,
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,132,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,133,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,134,Within the premises/ adjoining the premises,2,Within the premises/ adjoining the premises ପରିସର ଭିତରେ /ବାହାରେ,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,135,At a distance from the premises,2,At a distance from the premises,-ପରିସର ଠାରୁ ଦୂରତା
3,Anganwadi Centre Information,132,Functional toilet available,R,2,136,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,132,Functional toilet available,R,2,137,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,138,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,139,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,140,Yes,2,Yes - ହଁ,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,141,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,142,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,143,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,144,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,145,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,137,Immunization service available,R,2,146,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,137,Immunization service available,R,2,147,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,138,Health check up service available,R,2,148,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,138,Health check up service available,R,2,149,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,139,Referral services available,R,2,150,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,139,Referral services available,R,2,151,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,152,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,153,No,2,No - ନାହିଁ,
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,154,"Yes,  available and irregular",2,"Yes,  available and irregular - ହଁ, ଅନିୟମିତ",
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,155,No,2,No - ନାହିଁ,
2,School Level Information,92,Mid Day meal cooked by,S,2,158,Outside the School premises and by the school,2,Outside the School premises and by the school :ବିଦ୍ୟାଳୟ ପରିସର ବାହାରେ /ଭିତରେ,
37,Child Annual Information,154,Name of Head of HouseHold,T,0,172,,2,,
37,Child Annual Information,155,Name of the Father,T,2,173,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,156,Age of Father,T,2,174,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,158,Occupation of the father,S,2,176,Unemployed,2,Unemployed - ବେକାରୀ,
37,Child Annual Information,158,Occupation of the father,S,2,177,Agricultural labour,2,Agricultural labour - କୃଷିକ୍ଷେତ୍ର ଶ୍ରମିକ,
37,Child Annual Information,159,Name of Mother,T,2,178,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,160,Age of Mother,T,2,179,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,162,Occupation of the Mother,S,2,181,Unemployed,2,Unemployed - ବେକାରୀ,
37,Child Annual Information,162,Occupation of the Mother,S,2,182,Agricultural labour,2,Agricultural labour - କୃଷିକ୍ଷେତ୍ର ଶ୍ରମିକ,
37,Child Annual Information,162,Occupation of the Mother,S,2,183,Casual labour and other labour,2,Casual labour and other labour - ଅନୌପଚାରିକ ଶ୍ରମିକ ଏବଂ ଅନ୍ୟାନ୍ୟ ଶ୍ରମିକ କାମ,
37,Child Annual Information,163,Orphaned /Single parent,R,2,184,No,2,No - ନାହିଁ,
37,Child Annual Information,163,Orphaned /Single parent,R,2,185,"Yes, father-Dead OR missing OR Deserted OR in Jail",2,"Yes, father-Dead OR missing OR Deserted OR in Jail ହଁ ,ପିତା ମୃତ୍ୟୁ ,ହଜିଯାଇଛନ୍ତି ,ପଳାତକ ,କାରାଗାର ",
37,Child Annual Information,164,Name of Guardian,T,2,186,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,165,Caste of Child,S,2,187,SC,2,SC - ତଫସିଲଭୁକ୍ତ ଜାତି,
37,Child Annual Information,165,Caste of Child,S,2,188,ST,2,ST - ତଫସିଲଭୁକ୍ତ ଜନଜାତି,
37,Child Annual Information,165,Caste of Child,S,2,189,OBC/BC/ EBC (All backward caste),2,OBC/BC/ EBC (All backward caste) - ଅନ୍ୟାନ୍ୟ ପଛୁଆ ବର୍ଗ,
37,Child Annual Information,165,Caste of Child,S,2,190,Don't know,2,Don't know - ଜଣା ନାହିଁ,
37,Child Annual Information,165,Caste of Child,S,2,191,General,2,General - ସାଧାରଣ,
37,Child Annual Information,166,Religion of Child,S,2,192,Hindu,2,Hindu - ହିନ୍ଦୁ,
37,Child Annual Information,166,Religion of Child,S,2,193,Christian,2,Christian - ଖ୍ରୀଷ୍ଟିଆନ,
37,Child Annual Information,166,Religion of Child,S,2,194,Muslim,2,Muslim - ମୁସଲିମ୍,
37,Child Annual Information,166,Religion of Child,S,2,195,Others,2,Others - ଅନ୍ୟାନ୍ୟ,
37,Child Annual Information,167,Sex of Child,R,0,196,Male,2,Male-ପୁରୁଷ,
37,Child Annual Information,167,Sex of Child,R,0,197,Female,2,Female- ମହିଳା,
37,Child Annual Information,168,Birth registration of child done?,R,2,198,Yes,2,Yes - ହଁ,
37,Child Annual Information,168,Birth registration of child done?,R,2,199,No,2,No - ନାହିଁ,
37,Child Annual Information,169,Date of  birth of the child,D,0,200,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,170,Place of Delivery,S,2,201,,0,,
37,Child Annual Information,171,Weight at birth (in kgs),T,2,202,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,172,Weight of child communicated to the mother after delivery,R,2,203,No,2,No - ନାହିଁ,
37,Child Annual Information,173,Age of child(in years),T,0,204,,2,,
37,Child Annual Information,174,Age of child as of today(months),T,0,205,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,175,Residential status,S,2,206,From this village only and stays in the village,2,From this village only and stays in the villageବାସିନ୍ଦା ସ୍ଥାୟୀ /ଅସ୍ଥାୟୀ,
37,Child Annual Information,175,Residential status,S,2,207,From other village and shifted to this location,2,From other village and shifted to this location ବାହାର ଗ୍ରାମ ରୁ ଆସି ରହୁଛି କି ,
37,Child Annual Information,176,Month of in-migration or out-migration,S,2,208,January,2,January -ଜାନୁଆରୀ,
37,Child Annual Information,177,Whether enrolled in Anganwadi,R,2,209,Yes,2,Yes - ହଁ,
37,Child Annual Information,177,Whether enrolled in Anganwadi,R,2,210,No,2,No - ନାହିଁ,
37,Child Annual Information,178,Anganwadi Name,T,2,211,NULL,2,NULL-ଅବିଧେୟ,
37,Child Annual Information,179,Whether child getting ECE?,R,2,212,"Not getting, Service not available",2,"Not getting, Service not available;ସେବା, ପାଉନାହାନ୍ତି /ଉପଲବ୍ଧ ନାହିଁ",
37,Child Annual Information,179,Whether child getting ECE?,R,2,213,Availing  from AWC (Aganwadi),2,Availing  from AWC (Aganwadi): ଅଙ୍ଗନବାଡି ରୁ ଉପଲବ୍ଧ ,
37,Child Annual Information,180,Is the child Challenged?,R,2,214,No,2,No - ନାହିଁ,
37,Child Annual Information,180,Is the child Challenged?,R,2,215,Yes physically challenged,2,Yes physically challenged  ହଁ ଭିନ୍ନକ୍ଷମ,
37,Child Annual Information,181,Is the child Chronically ill?,R,2,216,Yes,2,Yes - ହଁ,
37,Child Annual Information,181,Is the child Chronically ill?,R,2,217,No,2,No - ନାହିଁ,
37,Child Annual Information,182,Is the child Terminally ill?,R,2,218,Yes,2,Yes - ହଁ,
37,Child Annual Information,182,Is the child Terminally ill?,R,2,219,No,2,No - ନାହିଁ,
37,Child Annual Information,183,Is the child Engagged/Married?,R,2,220,No,2,No - ନାହିଁ,
37,Child Annual Information,183,Is the child Engagged/Married?,R,2,221,Live in relationship,2,Live in relationship ଏକତ୍ର ବାସ କରିବା,
37,Child Annual Information,184,Current Location of child,S,2,222,At Home,2,At Home :ଗୃହରେ  ,
37,Child Annual Information,185,Others Specify,T,2,223,NULL,2,NULL-ଅବିଧେୟ,
1,Health Centre Survey,192,Type of Health Centre,S,2,233,Sub Health Centre,2,Sub Health Centre -  ଉପ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ,
1,Health Centre Survey,192,Type of Health Centre,S,2,234,Primary Health Centre,2,Primary Health Centre - ପିଏଚ୍ସି- ପ୍ରାଥମିକ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ,
1,Health Centre Survey,192,Type of Health Centre,S,2,235,Community Health Centre,2,Community Health Centre - ସିଏଚ୍ସି- ଗୋଷ୍ଠୀ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ,
1,Health Centre Survey,192,Type of Health Centre,S,2,236,Urban Health Unit,2,Urban Health Unit - ସହରାଂଚଳ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ,
1,Health Centre Survey,192,Type of Health Centre,S,2,237,Health units in Tea Estates \ Plantations,2,Health units in Tea Estates \ Plantations - ଚା' ଫ୍ୟାକ୍ଟ୍ରି/ ଚା' ବଗିଚାରେ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ୍ର,
1,Health Centre Survey,193,Specify the Urban Health Unit,T,2,238,NULL,2,NULL-ଅବିଧେୟ,
1,Health Centre Survey,194,Incubator Available,R,2,239,Yes,2,Yes - ହଁ,
1,Health Centre Survey,194,Incubator Available,R,2,240,No,2,No - ନାହିଁ,
1,Health Centre Survey,195,New Born Corner Centre available,R,2,241,Yes,2,Yes - ହଁ,
1,Health Centre Survey,195,New Born Corner Centre available,R,2,242,No,2,No - ନାହିଁ,
1,Health Centre Survey,196,Sick Born Centre available,R,2,243,Yes,2,Yes - ହଁ,
1,Health Centre Survey,196,Sick Born Centre available,R,2,244,No,2,No - ନାହିଁ,
1,Health Centre Survey,197,Functional NRC MTC available,R,2,245,Yes,2,Yes - ହଁ,
1,Health Centre Survey,197,Functional NRC MTC available,R,2,246,No,2,No - ନାହିଁ,
1,Health Centre Survey,200,Pharmacist available,R,2,251,Yes,2,Yes - ହଁ,
1,Health Centre Survey,200,Pharmacist available,R,2,252,No,2,No - ନାହିଁ,
1,Health Centre Survey,201,Staff Nurse available,R,2,253,Yes,2,Yes - ହଁ,
1,Health Centre Survey,201,Staff Nurse available,R,2,254,No,2,No - ନାହିଁ,
1,Health Centre Survey,202,Ambulance Service available,R,2,255,Yes,2,Yes - ହଁ,
1,Health Centre Survey,202,Ambulance Service available,R,2,256,No,2,No - ନାହିଁ,
1,Health Centre Survey,203,Blood Storage unit available,R,2,257,Yes,2,Yes - ହଁ,
1,Health Centre Survey,203,Blood Storage unit available,R,2,258,No,2,No - ନାହିଁ,
1,Health Centre Survey,208,ANM available,R,2,267,Yes,2,Yes - ହଁ,
1,Health Centre Survey,208,ANM available,R,2,268,No,2,No - ନାହିଁ,
1,Health Centre Survey,209,Female Health Worker available,R,2,269,Yes,2,Yes - ହଁ,
1,Health Centre Survey,209,Female Health Worker available,R,2,270,No,2,No - ନାହିଁ,
1,Health Centre Survey,210,Building Own or Rented,R,2,271,Own,2,Own - ନିଜସ୍ୱ,
1,Health Centre Survey,210,Building Own or Rented,R,2,272,Rented,2,Rented - ଭଡ଼ା ଗୃହ,
1,Health Centre Survey,211,Operating since,D,2,273,NULL,2,NULL-ଅବିଧେୟ,
1,Health Centre Survey,212,Location,T,0,274,,2,,
1,Health Centre Survey,213,Village / Ward,T,0,275,,2,,
1,Health Centre Survey,214,Hamlet/Para/Mohalla,T,0,276,,2,,
1,Health Centre Survey,215,Rural/Urban,R,0,277,Rural,2,Rural- - ଗ୍ରାମ,
1,Health Centre Survey,215,Rural/Urban,R,0,278,Urban,2,Urban ସହର,
1,Health Centre Survey,216,Coverage Population,T,2,279,NULL,2,NULL-ଅବିଧେୟ,
1,Health Centre Survey,217,Whether delivery conducted?,S,2,280,Yes,2,Yes - ହଁ,
1,Health Centre Survey,217,Whether delivery conducted?,S,2,281,No,2,No - ନାହିଁ,
1,Health Centre Survey,218,Designated class for delivery and referal,S,2,282,L1,2,L1 - ଏଲ୧,
1,Health Centre Survey,218,Designated class for delivery and referal,S,2,283,L2,2,L2 - ଏଲ୍୨,
1,Health Centre Survey,218,Designated class for delivery and referal,S,2,284,L3,2,L3 - ଏଲ୩,
1,Health Centre Survey,219,Whether list of medicines available at the centre is publicly displayed outside,S,2,285,Yes,2,Yes - ହଁ,
1,Health Centre Survey,219,Whether list of medicines available at the centre is publicly displayed outside,S,2,286,No,2,No - ନାହିଁ,
1,Health Centre Survey,220,Examination table available,R,2,287,Yes,2,Yes - ହଁ,
1,Health Centre Survey,220,Examination table available,R,2,288,No,2,No - ନାହିଁ,
1,Health Centre Survey,222,Delivery table,R,2,291,Yes,2,Yes - ହଁ,
1,Health Centre Survey,222,Delivery table,R,2,292,No,2,No - ନାହିଁ,
1,Health Centre Survey,223,Weighing machine for children available,R,2,293,Yes,2,Yes - ହଁ,
1,Health Centre Survey,223,Weighing machine for children available,R,2,294,No,2,No - ନାହିଁ,
1,Health Centre Survey,224,Weighing machine for adults available?,R,2,295,Yes,2,Yes - ହଁ,
1,Health Centre Survey,224,Weighing machine for adults available?,R,2,296,No,2,No - ନାହିଁ,
1,Health Centre Survey,225,Container for waste disposal available?,R,2,297,Yes,2,Yes - ହଁ,
1,Health Centre Survey,225,Container for waste disposal available?,R,2,298,No,2,No - ନାହିଁ,
1,Health Centre Survey,226,Sterilisation machine available for disinfecting equipments?,R,2,299,Yes,2,Yes - ହଁ,
1,Health Centre Survey,226,Sterilisation machine available for disinfecting equipments?,R,2,300,No,2,No - ନାହିଁ,
1,Health Centre Survey,227,Urine testing facility available?,R,2,301,Yes,2,Yes - ହଁ,
1,Health Centre Survey,227,Urine testing facility available?,R,2,302,No,2,No - ନାହିଁ,
1,Health Centre Survey,228,Functional BP testing apparatus available?,R,2,303,Yes,2,Yes - ହଁ,
1,Health Centre Survey,228,Functional BP testing apparatus available?,R,2,304,No,2,No - ନାହିଁ,
1,Health Centre Survey,229,Vaccine storage facility available,R,2,305,Yes,2,Yes - ହଁ,
1,Health Centre Survey,229,Vaccine storage facility available,R,2,306,No,2,No - ନାହିଁ,
1,Health Centre Survey,199,DataEntryOperator available,R,2,307,Yes,2,Yes - ହଁ,
1,Health Centre Survey,199,DataEntryOperator available,R,2,308,No,2,No - ନାହିଁ,
1,Health Centre Survey,206,Paediatrician available,R,2,309,Yes,2,Yes - ହଁ,
1,Health Centre Survey,206,Paediatrician available,R,2,310,No,2,No - ନାହିଁ,
1,Health Centre Survey,221,Screen/separate room/separate place for examination available,R,2,311,Yes,2,Yes - ହଁ,
1,Health Centre Survey,221,Screen/separate room/separate place for examination available,R,2,312,No,2,No - ନାହିଁ,
47,Growth Monitoring,230,Name of head of HouseHold,T,0,313,,2,,
47,Growth Monitoring,231,Name of Father,T,0,314,NULL,2,NULL-ଅବିଧେୟ ,
47,Growth Monitoring,232,Name of Mother,T,0,315,NULL,2,NULL- ଅବିଧେୟ,
47,Growth Monitoring,233,Data Collection Date,D,2,316,,2,,
47,Growth Monitoring,234,Date of Birth,D,0,317,NULL,2,NULL- ଅବିଧେୟ,
47,Growth Monitoring,235,Sex Of Child,R,0,318,Male,2,Male-ପୁରୁଷ,
47,Growth Monitoring,235,Sex Of Child,R,0,319,Female,2,Female- ମହିଳା,
47,Growth Monitoring,236,Weight (in kgs),T,2,320,NULL,2,NULL-ଅବିଧେୟ,
47,Growth Monitoring,237,Height (in cms),T,2,321,NULL,2,NULL-ଅବିଧେୟ ,
47,Growth Monitoring,239,Growth monitoring chart updated,S,2,323,Yes,2,Yes - ହଁ,
47,Growth Monitoring,239,Growth monitoring chart updated,S,2,324,No,2,No - ନାହିଁ,
47,Growth Monitoring,240,Referal,S,2,325,"Yes, to NRC",2,"Yes, to NRC - ହଁ ,ପୁଷ୍ଟିସାଧନା କେନ୍ଦ୍ର (NRC)",
47,Growth Monitoring,240,Referal,S,2,326,No,2,No - ନାହିଁ,
47,Growth Monitoring,241,If Yes,R,0,327,NRC,2,NRC .ପୁଷ୍ଟିସାଧନା କେନ୍ଦ୍ର ,
47,Growth Monitoring,241,If Yes,R,0,328,MTC,2,MTC,
47,Growth Monitoring,241,If Yes,R,0,329,Hospital,2,Hospital,
47,Growth Monitoring,241,If Yes,R,0,330,Not Applicable,2,Not applicable - ଏହା ଲାଗୁ ନୁହେଁ,
47,Growth Monitoring,242,Whether referal service availed,S,2,331,Yes,2,Yes - ହଁ,
47,Growth Monitoring,242,Whether referal service availed,S,2,332,No,2,No - ନାହିଁ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,333,Cant leave family \ House for Long time,2,Cant leave family \ House for Long time - ପରିବାର କିମ୍ବା/ ଘରକୁ ଛାଡ଼ି ଦୀର୍ଘ ଦିନ ରହିପାରିବ ନାହିଁ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,334,No person to accompany \ Safety issue,2,No person to accompany \ Safety issue - ସାଙ୍ଗରେ କୌଣସି ଲୋକ ରହିପାରିବେ ନାହ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,335,Longer Distance,2,Longer Distance - ବହୁତ ଦୂର,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,336,Dont trust the institution to cure my child,2,Dont trust the institution to cure my child - ଅନୁଷ୍ଠାନ ଉପରେ ବିଶ୍ୱାସ ନାହିଁ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,337,Economic issue \ Poverty,2,Economic issue \ Poverty - ଆର୍ଥକ ସମସ୍ୟା/ ଦାରିଦ୍ର୍ୟ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,338,Not applicable,2,Not applicable - ଏହା ଲାଗୁ ନୁହେଁ,
47,Growth Monitoring,243,"If No,Reason for not availing",S,2,339,Others,2,Others - ଅନ୍ୟାନ୍ୟ,
47,Growth Monitoring,244,Supl Nutrition,R,2,340,"No, Not at all",2,"No, Not at all ନାହିଁ  ମୂଳ ରୁ ନାହିଁ",
47,Growth Monitoring,244,Supl Nutrition,R,2,341,"Yes, irregular and incomplete amount",2,"Yes, irregular and incomplete amount ହଁ , ଅନିୟମିତତା ,ଅସମ୍ପୂର୍ଣ୍ଣ ରାଶି",
47,Growth Monitoring,244,Supl Nutrition,R,2,342,"Yes, Irregular and complete amount",2,"Yes, Irregular and complete amount ହଁ , ଅନିୟମିତତା , ସମ୍ପୂର୍ଣ ରାଶି ",
47,Growth Monitoring,244,Supl Nutrition,R,2,343,"Yes, Regular and complete amount",2,"Yes, Regular and complete amount ହଁ , ନିୟମିତତା , ସମ୍ପୂର୍ଣ ରାଶି ",
47,Growth Monitoring,244,Supl Nutrition,R,2,344,Not applicable,2,Not applicable - ଏହା ଲାଗୁ ନୁହେଁ,
47,Growth Monitoring,238,Nutrition status,S,2,345,Normal,2,Normal - ସାଧାରଣ,
47,Growth Monitoring,238,Nutrition status,S,2,346,MAM,2,MAM - ଏମ୍ଏଏମ,
47,Growth Monitoring,238,Nutrition status,S,2,347,SAM,2,SAM - ଏସ୍ଏଏମ୍,
48,Labour and Migration,245,Name of Father,T,0,348,NULL,2,NULL- ଅବିଧେୟ,
48,Labour and Migration,246,Name of Mother,T,0,349,NULL,2,NULL-ଅବିଧେୟ,
48,Labour and Migration,247,Date of birth of child,D,0,350,NULL,2,NULL-ଅବିଧେୟ,
48,Labour and Migration,248,Date of collection,D,2,351,NULL,2,NULL-ଅବିଧେୟ,
48,Labour and Migration,249,Enrollment status,S,2,352,Enrolled and currently going to school,2,Enrolled and currently going to school - ନାମ ଲେଖାଇଛି ଏବଂ ଏବେ ବିଦ୍ୟାଳୟକୁ ଯାଉଛି,
