Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Odiya
37,Child Annual Information,170,Place of Delivery,S,2,Place of Delivery - ଶିଶୁ ଜନ୍ମ ହୋଇଥବା ସ୍ଥାନ
37,Child Annual Information,171,Weight at birth (in kgs),T,2,Weight at birth (in kgs) - ଶିଶୁର ଜନ୍ମ ସମୟର ଓଜନ
37,Child Annual Information,172,Weight of child communicated to the mother after delivery,R,2,"Weight of child communicated to the mother after delivery - ଶିଶୁର ଜନ୍ମ ସମୟର ଓଜନ ତାର ମାଆକୁ ଜଣାଇ ଯାଇଥିଲା କି
"
37,Child Annual Information,173,Age of child(in years),T,0,0
37,Child Annual Information,174,Age of child as of today(months),T,0,Age of child as of today(months) -ଆଜି ଦିନ ପର୍ଯ୍ୟନ୍ତ  ଶିଶୁର ବୟସ(ବର୍ଷ) 
37,Child Annual Information,175,Residential status,S,2,Residential status - ବାସସ୍ଥାନର ସ୍ଥିତି
37,Child Annual Information,176,Month of in-migration or out-migration,S,2,Month of in-migration or out-migration - ଆନ୍ତଃ ଦେଶାନ୍ତର କିମ୍ବା ବାହ୍ୟ ଦେଶାନ୍ତର ର ମାସ
37,Child Annual Information,177,Whether enrolled in Anganwadi,R,2,Whether enrolled in Anganwadi - ଅଂଗନୱାଡ଼ି  କେନ୍ଦ୍ରରେ ପଞ୍ଜୀକୃତ କି
37,Child Annual Information,178,Anganwadi Name,T,2,Anganwadi ID (if available) - ଅଂଗନୱାଡି କେନ୍ଦ୍ରର ପରିଚୟ ପତ୍ର  ଅଛି କି
37,Child Annual Information,179,Whether child getting ECE?,R,2,Whether child getting ECE? - ଶିଶୁ ଆଦ୍ୟ ଶୈଶବ ଯତ୍ନ ଓ ଶିକ୍ଷା ପାଉଛି କି
37,Child Annual Information,180,Is the child Challenged?,R,2,Is the child Challenged? - ଶିଶୁଟି ଭିନ୍ନକ୍ଷମ କି?
37,Child Annual Information,181,Is the child Chronically ill?,R,2,Is the child Chronically ill? - ଶିଶୁଟି ଦୀର୍ଘ ଦିନ ଧରି ପୀଡ଼ିତ କି?
37,Child Annual Information,182,Is the child Terminally ill?,R,2,Is the child Terminally ill? - ଶିଶୁଟି ଶେଷ ଅବସ୍ଥାରେ ଅଛି କି?
37,Child Annual Information,183,Is the child Engagged/Married?,R,2,Is the child Engagged/Married? - ଶିଶୁଟି ବିବାହିତ କିମ୍ବା ବିବାହ ସ୍ଥିରୀକୃତ କି
37,Child Annual Information,184,Current Location of child,S,2,0
37,Child Annual Information,185,Others Specify,T,2,Others Specify - ଅନ୍ୟାନ୍ୟ ଯଦି କିଛି ଅଛି ଉଲ୍ଲେଖ କରନ୍ତୁ
1,Health Centre Survey,192,Type of Health Centre,S,2,Type of Health Centre - ସ୍ୱାସ୍ଥ୍ୟକେନ୍ଦ୍ରର ପ୍ରକାର
1,Health Centre Survey,193,Specify the Urban Health Unit,T,2,Specify the Urban Health Unit - ସହରାଂଚଳ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ୍ର ଉଲ୍ଲେଖ କର
1,Health Centre Survey,194,Incubator Available,R,2,Incubator Available - ଇନ୍କ୍ୟୁବେଟର ଅଛି କି?
1,Health Centre Survey,195,New Born Corner Centre available,R,2,New Born Corner Centre available - ନବଜାତକଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର କେନ୍ଦ୍ର (ଏନ.ବି.ସି.ସି) ଅଛି କି
1,Health Centre Survey,196,Sick Born Centre available,R,2,Sick Born Centre available - ରୁଗ୍ଣ ନବଜାତକଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର କେନ୍ଦ୍ର (ଏସ୍ଏନ୍ସିୟୁ) ଅଛି କି
1,Health Centre Survey,197,Functional NRC MTC available,R,2,Functional NRC MTC available - କାର୍ଯ୍ୟକ୍ଷମ ଏନ୍ଆର୍ସି/ ଏମଟିସି ଅଛି କି
1,Health Centre Survey,198,Medical Officer available,R,2,Medical Officer available - ଡାକ୍ତରଖାନାରେ ଚିକିତ୍ସା ଅଧିକାରୀ  ଅଛନ୍ତି କି
1,Health Centre Survey,199,DataEntryOperator available,R,2,DataEntryOperator available - ଡାଟା ଏଂଟ୍ରି ଅପରେଟର ଅଛନ୍ତ କି
1,Health Centre Survey,200,Pharmacist available,R,2,Pharmacist available - ଫାର୍ମାସିଷ୍ଟ ଅଛନ୍ତି କି
1,Health Centre Survey,201,Staff Nurse available,R,2,Staff Nurse available - ଷ୍ଟାଫ୍ ନର୍ସ ଅଛନ୍ତି କି
1,Health Centre Survey,202,Ambulance Service available,R,2,Ambulance Service available - ଆମ୍ବୁଲାନ୍ସ ସେବା ଉପଲବ୍ଧ କି
1,Health Centre Survey,203,Blood Storage unit available,R,2,Blood Storage unit available - ରକ୍ତ ଭଣ୍ଡାର ୟୁନିଟ୍ ରହିଛି କି
1,Health Centre Survey,204,Laboratory technician available,R,2,0
1,Health Centre Survey,205,Gynaecologist available,R,2,Gynaecologist available - ମହିଳା ରୋଗ ବିଶେଷଜ୍ଞ ଡାକ୍ତର ଅଛନ୍ତି
1,Health Centre Survey,206,Paediatrician available,R,2,Paediatrician available - ଶିଶୁ ରୋଗ ବିଶେଷଜ୍ଞ ଡାକ୍ତର ଅଛନ୍ତି
1,Health Centre Survey,207,Anaesthetic available,R,2,Anaesthetic available - ନିଶ୍ଚେତକ ବିଶେଷଜ୍ଞ ଅଛନ୍ତି
1,Health Centre Survey,208,ANM available,R,2,ANM available - ଏଏନଏମ୍ ଅଛନ୍ତି
1,Health Centre Survey,209,Female Health Worker available,R,2,Female Health Worker available - ମହଳିା ସ୍ୱାସ୍ଥ୍ୟକର୍ମୀ ଅଛନ୍ତି
1,Health Centre Survey,210,Building Own or Rented,R,2,Building Own or Rented - ଗୃହ ନିଜସ୍ୱ/ ଭଡ଼ା
1,Health Centre Survey,211,Operating since,D,2,Operating since - କାର୍ଯ୍ୟକ୍ଷମ ହେବା ଦିନଠାରୁ
1,Health Centre Survey,212,Location,T,0,0
1,Health Centre Survey,213,Village / Ward,T,0,0
1,Health Centre Survey,214,Hamlet/Para/Mohalla,T,0,0
1,Health Centre Survey,215,Rural/Urban,R,0,0
1,Health Centre Survey,216,Coverage Population,T,2,Coverage Population - କେତେ ଜନସଂଖ୍ୟାକୂ ସେବା ଦେଉଛି
1,Health Centre Survey,217,Whether delivery conducted?,S,2,Whether delivery conducted? -  ପ୍ରସବ ସେବା ରହିଛି କି
1,Health Centre Survey,218,Designated class for delivery and referal,S,2,Designated class for delivery and referal - ସ୍ୱତନ୍ତ୍ର ଭାବେ ନାମାଙ୍କିତ ପ୍ରସବ ସୁବିଧା ଓ ସହାୟତା ଅଛି କି
1,Health Centre Survey,219,Whether list of medicines available at the centre is publicly displayed outside,S,2,Whether list of medicines available at the centre is publicly displayed outside - ଜନସାଧାରଣଙ୍କ ଦେଖିବା ପାଇଁ ବାହାରେ ପ୍ରଦର୍ଶନ କରାଯାଇଥିବା ଔଷଧର ତାଲିକା ଅଛି କି
1,Health Centre Survey,220,Examination table available,R,2,Examination table available - ପରୀକ୍ଷା ଟେବୁଲ୍ ଅଛି କି?
1,Health Centre Survey,221,Screen/separate room/separate place for examination available,R,2,Screen/separate room/separate place for examination available - ପରଦା/ ଅଲଗା ଗୃହ / ପରୀକ୍ଷା ପାଇଁ ଅଲଗା ସ୍ଥାନ ଅଛି କି?
1,Health Centre Survey,222,Delivery table,R,2,Delivery table - ପ୍ରସବ ଟେବୁଲ ଅଛି କି?
1,Health Centre Survey,223,Weighing machine for children available,R,2,Weighing machine for children available - ପିଲାମାନଙ୍କ ପାଇଁ ଓଜନ ମାପକ ଯନ୍ତ୍ର ଅଛି କି?
1,Health Centre Survey,224,Weighing machine for adults available?,R,2,Weighing machine for adults available? - ବୟସ୍କ ମାନଂକ ନିମନ୍ତେ ଓଜନ ମାପକ ଅଛି କି?
1,Health Centre Survey,225,Container for waste disposal available?,R,2,Container for waste disposal available? - ଅସନା ନିଷ୍କାସନ ପାତ୍ର ଅଛି କି?
1,Health Centre Survey,226,Sterilisation machine available for disinfecting equipments?,R,2,Sterilisation machine available for disinfecting equipments? - ଯନ୍ତ୍ରାଂଶକୁ ସଂକ୍ରମଣରହିତ କରିବା ପାଇଁ ଜୀବାଣୁନାଶକ ମେସିନ୍ ଅଛି କି?
1,Health Centre Survey,227,Urine testing facility available?,R,2,Urine testing facility available? - ମୂତ୍ର ପରୀକ୍ଷା ସୁବିଧା ଅଛି କି?
1,Health Centre Survey,228,Functional BP testing apparatus available?,R,2,Functional BP testing apparatus available? - କାର୍ଯ୍ୟକ୍ଷମ ରକ୍ତଚାପ ପରୀକ୍ଷା ମେସିନ୍ ଅଛି କି?
1,Health Centre Survey,229,Vaccine storage facility available,R,2,Vaccine storage facility available - ଟୀକା ସଂରକ୍ଷଣ ସୁବିଧା ରହିଛି  କି
47,Growth Monitoring,230,Name of head of HouseHold,T,0,0
47,Growth Monitoring,231,Name of Father,T,0,Name of Father - ପିତାଙ୍କ ନାମ
47,Growth Monitoring,232,Name of Mother,T,0,Name of Mother - ମାଆଙ୍କ ନାମ
47,Growth Monitoring,233,Data Collection Date,D,2,0
47,Growth Monitoring,234,Date of Birth,D,0,Date of Birth - ଜନ୍ମ ତାରିଖ
47,Growth Monitoring,235,Sex Of Child,R,0,0
47,Growth Monitoring,236,Weight (in kgs),T,2,Weight (in kgs) - ଓଜନ କିଲୋଗ୍ରାମ୍ ଏବଂ ଗ୍ରାମ୍
47,Growth Monitoring,237,Height (in cms),T,2,Height (in cms) - ଉଚ୍ଚତା ସେଂଟିମିଟର (ସିଏମ୍)
